# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = prior_model
# start_datetime = 2023-04-13 09:20:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpjdx6wopj/m6nqqjez.json
# init = 2 (Default)
# random
#   seed = 123456
# output
#   file = /home/AGH-Data-Analytics/lab_5/samples/prior-20230413092000.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,beta.1,beta.2,alpha,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.128679,-0.257875,0.760692,-191.608,-135.52,-197.666,-229.385,-211.981,-95.2923,-199.601,-210.434,-58.8043,-276.965,0,0,0,0,0,0,0,0,0,0
0,0,-1.57914,-0.426857,-2.39058,-353.603,-262.127,-373.194,-425.698,-384.593,-190.075,-369.567,-379.301,-122.846,-492.161,0,0,0,0,0,0,0,0,0,0
0,0,1.36634,-0.440596,0.36633,-290.239,-192.823,-289.487,-343.68,-328.22,-130.436,-300.724,-328.749,-76.0252,-439.25,0,0,0,0,0,0,0,0,0,0
0,0,0.732024,-0.915306,4.45462,-649.811,-449.543,-662.993,-775.576,-724.5,-311.514,-675.807,-721.387,-187.946,-955.157,0,0,0,0,0,0,0,0,0,0
0,0,-0.109796,-0.201551,1.0655,-149.508,-105.68,-154.307,-179.098,-165.412,-74.2016,-155.774,-164.185,-45.637,-216.203,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.782915,-0.0368512,-1.65184,-47.4906,-40.2399,-53.708,-58.2407,-48.8728,-31.4332,-50.1619,-47.1228,-22.3963,-58.1593,0,0,0,0,0,0,0,0,0,0
0,0,0.389647,-0.983894,-1.10862,-713.935,-499.057,-730.885,-851.904,-793.426,-349.096,-742.673,-789.286,-214.283,-1041.37,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.48291,-1.16776,-6.90732,-828.451,-572.397,-841.426,-985.06,-924.837,-398.494,-860.518,-921.964,-243.591,-1219.11,0,0,0,0,0,0,0,0,0,0
0,0,-2.07451,-1.82668,-2.58122,-1393.16,-997.013,-1444.21,-1668.89,-1535.14,-707.406,-1452.11,-1521.86,-443.124,-1995.47,0,0,0,0,0,0,0,0,0,0
0,0,0.709093,-1.93701,0.467838,-1404.28,-981.301,-1438.05,-1676.31,-1560.66,-685.838,-1460.97,-1552.39,-420.139,-2048.78,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-2.2271,-0.717783,1.99371,-578.309,-424.06,-608.255,-696.542,-631.278,-304.613,-604.297,-623.235,-193.706,-812.159,0,0,0,0,0,0,0,0,0,0
0,0,3.09088,-1.9311,-0.235815,-1343.48,-919.413,-1360.47,-1598,-1504.15,-634.387,-1395.24,-1500.68,-381.418,-1990.79,0,0,0,0,0,0,0,0,0,0
0,0,0.0627836,-2.13457,-0.577854,-1565.84,-1100.44,-1608.09,-1870.65,-1736.73,-771.972,-1629.75,-1726.19,-475.582,-2274.64,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.03705,-2.09827,0.863772,-1466.38,-1005.92,-1487.08,-1745.17,-1640.31,-694.931,-1523.25,-1635.89,-418.457,-2169.08,0,0,0,0,0,0,0,0,0,0
0,0,0.178262,-0.592798,0.385343,-430.45,-301.042,-441.058,-513.972,-478.23,-210.464,-447.877,-475.623,-128.956,-627.615,0,0,0,0,0,0,0,0,0,0
0,0,1.01234,-0.340287,-0.851309,-226.326,-151.131,-226.045,-267.901,-255.574,-102.776,-234.51,-255.897,-60.538,-341.326,0,0,0,0,0,0,0,0,0,0
0,0,4.28778,-1.06478,2.047,-676.598,-440.187,-667.879,-798.848,-770.356,-293.362,-699.966,-773.608,-166.795,-1038.68,0,0,0,0,0,0,0,0,0,0
0,0,1.20764,-2.33433,0.990781,-1683.43,-1173.33,-1721.66,-2008.78,-1872.59,-818.677,-1751.04,-1863.33,-500.243,-2460.84,0,0,0,0,0,0,0,0,0,0
0,0,0.976863,-2.23307,-3.14431,-1618.78,-1130.99,-1656.6,-1931.27,-1799.38,-791.003,-1683.81,-1790.16,-485.49,-2362.11,0,0,0,0,0,0,0,0,0,0
0,0,-0.199272,-3.44667,-0.79047,-2535.43,-1784.26,-2605.76,-3029.7,-2810.77,-1252.67,-2639.23,-2793.13,-772.587,-3679.33,0,0,0,0,0,0,0,0,0,0
0,0,-1.31248,0.0140904,-2.54736,-23.7046,-28.0888,-32.6102,-30.877,-19.9524,-25.0088,-25.9068,-17.3979,-20.4049,-16.4016,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.723369,-1.84739,0.14438,-1373.2,-971.194,-1415.21,-1642.44,-1519.55,-683.802,-1430.07,-1508.86,-423.398,-1985.09,0,0,0,0,0,0,0,0,0,0
0,0,1.2922,-3.32161,0.284709,-2406.76,-1681.36,-2464.15,-2872.71,-2675.07,-1175,-2503.83,-2661.05,-719.758,-3512.12,0,0,0,0,0,0,0,0,0,0
0,0,-0.975109,-0.383918,-1.09681,-306.295,-223.576,-320.799,-368.021,-335.058,-160.552,-319.763,-331.188,-102.312,-431.805,0,0,0,0,0,0,0,0,0,0
0,0,1.20217,-1.63574,-3.2651,-1175.05,-817.255,-1199.35,-1400.55,-1308.31,-570.159,-1221.72,-1302.54,-348.801,-1720.52,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.19575,-1.11144,0.441451,-844.051,-602.953,-874.65,-1011.36,-930.574,-427.009,-879.785,-922.625,-266.541,-1210.66,0,0,0,0,0,0,0,0,0,0
0,0,1.31955,-2.34078,-1.43132,-1687.89,-1176.28,-1725.47,-2013.39,-1877.8,-821.083,-1755.48,-1868.73,-502.312,-2467.67,0,0,0,0,0,0,0,0,0,0
0,0,-1.17342,-1.94603,2.59723,-1453.95,-1030.89,-1501.09,-1740.45,-1607.29,-726.509,-1514.68,-1595.21,-450.143,-2097.69,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.995068,-2.09164,0.624451,-1558.52,-1103.54,-1607.32,-1864.59,-1723.86,-777.444,-1623.26,-1711.41,-481.732,-2250.95,0,0,0,0,0,0,0,0,0,0
0,0,-3.17009,-0.182672,-0.367077,-210.531,-173.878,-236.375,-258.843,-218.804,-133.066,-222.351,-211.551,-91.8245,-264.838,0,0,0,0,0,0,0,0,0,0
0,0,-1.63317,0.0419077,-0.5211,-8.95693,-19.726,-19.551,-14.3963,-2.33797,-19.6471,-10.966,0.718831,-17.3064,8.22277,0,0,0,0,0,0,0,1,0,3674
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-3.2093,-1.12583,0.572367,-902.809,-660.588,-947.791,-1086.27,-986.457,-474.373,-943.003,-974.409,-301.836,-1270.17,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.863884,-1.5439,0.46459,-1112.02,-774.589,-1136.85,-1326.75,-1237.26,-540.284,-1156.61,-1231.27,-330.002,-1626.32,0,0,0,0,0,0,0,0,0,0
0,0,0.0888003,-1.34146,-1.76308,-984.262,-691.735,-1010.47,-1175.47,-1091.76,-485.506,-1024.33,-1085.23,-299.487,-1429.8,0,0,0,0,0,0,0,0,0,0
0,0,0.782445,-0.991215,0.680616,-708.092,-491.225,-722.44,-844.359,-788.955,-341.708,-736.264,-785.563,-207.841,-1038.74,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.36895,-0.769282,-2.61057,-510.409,-340.336,-509.212,-603.833,-576.689,-231.343,-528.749,-577.581,-136.257,-770.548,0,0,0,0,0,0,0,0,0,0
0,0,-1.90957,-0.346195,-1.32002,-301.257,-227.696,-321.548,-364.13,-325.133,-166.744,-315.462,-319.583,-109.075,-412.375,0,0,0,0,0,0,0,0,0,0
0,0,-1.78822,-0.868041,-2.22823,-682.287,-494.843,-712.166,-818.935,-748.154,-354.011,-711.905,-740.237,-224.413,-966.9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.36106,-1.75615,-0.138282,-1321.82,-940.338,-1366.47,-1582.47,-1459.59,-664.447,-1377.22,-1448.08,-413.537,-1902.14,0,0,0,0,0,0,0,0,0,0
0,0,0.366112,-1.81573,3.46881,-1320.49,-924.294,-1354.24,-1577.57,-1466.48,-646.136,-1374.23,-1458.13,-395.581,-1924.04,0,0,0,0,0,0,0,0,0,0
0,0,-3.96594,-1.0018,-0.286281,-830.79,-616.364,-878.588,-1001.81,-903.002,-446.223,-868.776,-890.061,-287.143,-1155.46,0,0,0,0,0,0,0,0,0,0
0,0,-0.463923,-2.96307,5.19724,-2180.83,-1535.35,-2243.34,-2607.8,-2416.95,-1077.18,-2270.65,-2401.21,-662.99,-3163.64,0,0,0,0,0,0,0,0,0,0
0,0,0.95201,-0.59371,-2.25938,-415.194,-284.813,-420.404,-493.431,-464.595,-197.19,-431.101,-463.53,-119.425,-614.21,0,0,0,0,0,0,0,0,0,0
0,0,-1.93482,-1.92301,-0.241272,-1458.17,-1040.88,-1510.17,-1746.7,-1608.14,-737.002,-1519.73,-1594.65,-460.029,-2092.73,0,0,0,0,0,0,0,0,0,0
0,0,1.45778,-0.204027,-1.96205,-116.731,-70.7956,-110.607,-135.703,-135.969,-45.2065,-119.937,-137.864,-24.1356,-187.384,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.2987,-1.99836,-2.49169,-1438.12,-1001.18,-1469,-1714.79,-1600.59,-698.626,-1495.47,-1593.19,-427.347,-2104.17,0,0,0,0,0,0,0,0,0,0
0,0,-0.0757085,-4.65129,1.43087,-3414.43,-2400.53,-3507.99,-4080.1,-3786.39,-1683.93,-3554.12,-3762.98,-1037.02,-4958.51,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.98717,-2.25986,-0.912232,-1587.96,-1092.32,-1612.25,-1890.21,-1774.72,-756.252,-1649.78,-1769.4,-457.067,-2344.21,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.368748,-1.9068,1.07595,-1389.66,-973.613,-1425.22,-1659.75,-1542.94,-681.441,-1446.13,-1534.15,-418.24,-2023.46,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.483993,-2.75812,-1.03126,-2037.11,-1436.32,-2095.66,-2434.91,-2256.79,-1009.63,-2120.82,-2242.03,-623.836,-2951.84,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.368806,-0.453449,0.802552,-323.178,-223.957,-329.665,-385.439,-360.191,-155.601,-336.044,-358.662,-94.4157,-474.46,0,0,0,0,0,0,0,0,0,0
0,0,1.48741,-2.7268,-0.631696,-1966.41,-1370.48,-2010.53,-2345.93,-2187.53,-956.499,-2045.24,-2176.87,-584.91,-2874.68,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.06372,-0.966583,-2.33384,-614.277,-399.498,-605.162,-724.052,-699.731,-266.899,-635.147,-703.025,-152.862,-943.31,0,0,0,0,0,0,0,0,0,0
0,0,0.693163,-0.0960146,0.0485333,-53.7902,-32.1659,-50.8584,-62.6682,-62.8577,-20.1523,-55.2843,-63.764,-10.2721,-87.0534,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-2.8924,-0.0430019,-0.554441,-101.535,-95.0533,-122.642,-127.931,-99.1907,-76.8614,-108.61,-93.1909,-56.4222,-110.027,0,0,0,0,0,0,0,0,0,0
0,0,-0.810256,-1.8699,2.26361,-1389.69,-982.86,-1432.76,-1662.75,-1537.66,-691.654,-1447.4,-1526.69,-427.687,-2008.87,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.72969,-2.4262,-0.825111,-1823.16,-1295.98,-1883.8,-2182.22,-2013.8,-915.431,-1899.41,-1998.21,-569.542,-2625.2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.48322,-2.39565,0.684688,-1722.13,-1198.39,-1759.66,-2054.32,-1916.75,-835.394,-1791.03,-1907.73,-509.814,-2520.45,0,0,0,0,0,0,0,0,0,0
0,0,1.44083,-2.80227,0.0927032,-2022.19,-1409.86,-2068.15,-2412.83,-2249.25,-984.07,-2103.38,-2238.12,-601.759,-2955.42,0,0,0,0,0,0,0,0,0,0
0,0,1.20285,-0.0597121,0.919955,-14.0402,0.179866,-6.81449,-14.1591,-21.2229,4.56411,-13.4259,-23.33,6.84982,-36.2704,0,3,0,0,0,90,0,0,943,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.72221,-1.07263,4.65856,-717.32,-480.764,-719.717,-851.651,-808.575,-326.468,-744.054,-808.656,-190.983,-1078.88,0,0,0,0,0,0,0,0,0,0
0,0,-0.352962,-3.39188,-1.42465,-2499.54,-1760.46,-2569.85,-2987.05,-2770.18,-1236.7,-2602,-2752.52,-763.462,-3624.94,0,0,0,0,0,0,0,0,0,0
0,0,1.48935,-1.04959,1.04129,-733.611,-503.312,-744.177,-873.276,-820.556,-347.633,-762.12,-818.287,-209.187,-1085.05,0,0,0,0,0,0,0,0,0,0
0,0,-0.198992,-0.486994,-0.222606,-362.452,-256.486,-373.585,-433.485,-401.014,-180.693,-377.46,-398.181,-112.006,-523.736,0,0,0,0,0,0,0,0,0,0
0,0,1.61805,-0.298904,1.59256,-178.97,-112.191,-173.622,-210.387,-206.118,-72.6317,-184.701,-207.86,-39.1742,-281.442,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.20385,-0.81585,2.07584,-625.651,-448.999,-650.394,-750.744,-688.511,-318.543,-652.534,-682.024,-199.12,-894.105,0,0,0,0,0,0,0,0,0,0
0,0,-1.44033,-0.597359,-0.078644,-473.108,-344.324,-495.137,-568.612,-518.016,-246.569,-493.909,-512.148,-156.335,-668.55,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.47801,-0.693917,1.00587,-400.857,-245.105,-383.389,-468.741,-465.326,-156.154,-412.718,-470.813,-82.0894,-640.193,0,0,0,0,0,0,0,0,0,0
0,0,-0.308362,-2.10989,-0.429748,-1556.49,-1096.84,-1600.85,-1860.36,-1724.66,-770.686,-1620.4,-1713.5,-475.869,-2256.36,0,0,0,0,0,0,0,0,0,0
0,0,0.0997217,-1.60316,-1.65571,-1175.98,-826.391,-1207.34,-1404.53,-1304.43,-579.904,-1223.87,-1296.61,-357.564,-1708.43,0,0,0,0,0,0,0,0,0,0
0,0,0.551642,-1.57571,0.326791,-1143.01,-798.949,-1170.66,-1364.47,-1270.17,-558.496,-1189.17,-1263.39,-342.23,-1667.24,0,0,0,0,0,0,0,0,0,0
0,0,-0.0823374,-0.652591,-0.915637,-481.893,-339.711,-495.522,-575.79,-533.936,-238.883,-501.636,-530.508,-147.761,-698.389,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.6459,-2.88729,-3.74581,-2083.51,-1452.44,-2129.74,-2484.87,-2317.79,-1014.38,-2166.84,-2306.64,-621.276,-3045.38,0,0,0,0,0,0,0,0,0,0
0,0,-2.41092,-0.955723,1.11917,-758.244,-552.307,-794.235,-911.788,-829.88,-395.482,-791.737,-820.279,-250.582,-1070.72,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.26849,-2.40835,1.1515,-1712.13,-1184.84,-1744.42,-2040.65,-1909.34,-823.032,-1779.85,-1901.83,-499.614,-2516.24,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.521105,-0.49629,-3.03614,-379.819,-272.149,-393.393,-454.436,-418.48,-193.636,-395.75,-414.957,-122.046,-543.545,0,0,0,0,0,0,0,0,0,0
0,0,0.302403,-4.04617,2.42189,-2960.21,-2077.84,-3039.01,-3536.69,-3284.5,-1455.94,-3080.99,-3264.88,-895.035,-4304.14,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.07973,-0.794316,1.76434,-607.177,-435.096,-630.621,-728.322,-668.563,-308.452,-633.166,-662.431,-192.644,-868.73,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.798263,-1.31106,0.253597,-942.909,-656.299,-963.543,-1124.8,-1049.39,-457.588,-980.645,-1044.43,-279.342,-1379.78,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
